Author,Anand Sanwal
Title,"What's the most unsexy, ""boring"" business you've ever seen that makes a crap ton of money?  (riches in niches)"
Date,"7:15 AM · Jul 3, 2020·Twitter Web App"
Comment,261  Retweets and comments 1.4K  Likes
Conversations,
,KP Reddy @reddy_kp · Jul 3,"Replying to @asanwal
Driving Schools. Steady pipeline of clients from court ordered DUI and charge what you want.
61",
,Peter van Sabben @sabben · Jul 4,"Replying to @asanwal
You call them hidden champions : https://en.wikipedia.org/wiki/Hidden_champions
1
32",
,Nelson Bostrom @nelsonbostrom · Jul 3,"Replying to @asanwal
I have cousins in Hong Kong that say the wealthiest people they know are in the funeral business -- superstitions, so nobody wants to be in the industry. :/
1
17",
,Colin Coulthard @colincoulthard · Jul 3,"Ive worked with a lot of funeral directors. They all drive Mercedes. The ultimate defensive business.
1
6",
,Dan Kessler @dakessler · Jul 3,"Replying to @asanwal
MREs: Meal, Ready to Eat. Three companies make billions from the government selling freeze dried meals to military/disaster relief.
36",
,Nick @nickjsheriff · Jul 3,"Replying to @asanwal
AOL dial up subscribers $582 million -
AOL still has 2.2 million dialup subscribers, and theyre paying more
It's alive, and kicking!
qz.com
1
36",https://pbs.twimg.com/card_img/1286663173639028738/yv62Q9yU?format=jpg&name=small
,Vijay Shekhar Sharma @vijayshekhar · Jul 3,"Replying to @asanwal
ETS (GMAT/GRE tests )
3
21",
,Vijar Kohli @VijarKohli · Jul 4,"Solid business 
3",https://abs-0.twimg.com/emoji/v2/svg/1f44c.svg
,Amanda Orson @amandaorson · Jul 4,"Replying to @asanwal
Building products, esp architectural masonry. The cost of material and human time to create a cinder block and a paver stone is roughly equivalent. But

Cinder blocks are $1-2. 

Paver stones can be $8-20. 

And you can build and sell both: B2B or B2B2C and B2C respectively.
1
14",
,Amanda Orson @amandaorson · Jul 4,"Another: materials handling rental companies. As ecom and resultantly enormous warehouses explode, these guys invest 1x and make many, many multiples on each piece of equipment. 

(This might be specific to Central PA - we're at the nexus of I-81, I-78, I-76, not far from I-95)
1
12",
,Joel Blake @joelrandyblake · Jul 3,"Replying to @asanwal
Metal casting foundry - aluminum and zinc parts

Niche is high-cosmetic products - e.g. medical equipment, biotech, robotics, etc.
2
9",
,Misha Saul @misha_saul · Jul 3,"Replying to @asanwal
Bell's ice

Just makes and distributes ice. Smallish market but big position. Stable, solid margins. Beautiful

https://bellspureice.com.au
1
13",
,alyce @alyce_ge · Jul 3,"Replying to @asanwal
tow trucks w/ monopolies on key roads into cities (e.g. high traffic, no alternate routes)

idk how well they're doing these days though
1
6",
,Peter Tufo @PeterTufo · Jul 3,"From an owner of one (although we cover a more rural area that is the key road into Yellowstone national park). Flat over last year, so considering COVID, hard to complain.
1
8",
,manav p thaker @manavpthaker · Jul 3,"Replying to @asanwal
Indian groceries
1
7",
,manav p thaker @manavpthaker · Jul 3,"$23B market FYI 
2
4",https://abs-0.twimg.com/emoji/v2/svg/1f60e.svg
,Simar @hellosimar · Jul 3,"Replying to @asanwal
Kesh King hair oil. Bootstrapped. The owner sold it for around $250 mn (8x the ARR). 

Now he has around 15 brands from Dr. Ortho to Pet Saffa with market value of a billion $
21",
,Tim Wilson @timwilson1000 · Jul 3,"Replying to @asanwal
My uncle sells the fabric that goes on all those hospital and doctor office chairs. No real competition. No idea how much he makes. But he has lots of homes.
16",
,Carson Poole @CarsonPoole · Jul 3,"Replying to @asanwal
By far the weirdest one Ive heard of is a company that makes small quantities of coffee cup heat-shielding-things that go around the outside.

They have literally no comptetitors that will serve the small size shops they do so they serve everyone in the US under 3 locations
16",
,Mohammed Hingora @mohd_hingora · Jul 3,"Replying to @asanwal
Shrimp farmers in South India. Farmers live in villages near coastal waters and have bought millions of dollars worth of land building generational wealth. They also drive Range Rovers to work in said village.
1
19",
,"Golf Caddy 4 Life, Von Neumann Probe Designer @Caddy4P · Jul 4","Replying to @asanwal
This is easy. There is no way to beat a parking lot in New York City. No employees. Consistent cash flow. Investment-grade asset. Plus, as a bonus, you can sit on it and sell out to developer to build crap on it at some point.
1
20",
